program_code,program_name,code,primaryname,strength,description
ESS_MEDS,VIA ESSENTIAL,16C03,"Efedrina HCL; 0,5%; Gotas nasais","0,5%",Efedrina HCL
ESS_MEDS,VIA ESSENTIAL,07B11,Tramadol; 100mg/2mL; Injectável,100mg/2mL,Tramadol
ESS_MEDS,VIA ESSENTIAL,15C09,Clotrimazol; 1%; Solução Ungueal,1%,Clotrimazol
ESS_MEDS,VIA ESSENTIAL,07J05,Flufenazina; 25mg/2mL; Injectável,25mg/2mL,Flufenazina
ESS_MEDS,VIA ESSENTIAL,25D02,Manual de procedimentos dos Hospitais Sem Dosagem Papel,Sem Dosagem,Manual de procedimentos dos Hospitais
ESS_MEDS,VIA ESSENTIAL,18C11Z,Lidocaina+Prilocaína; 5% (25mg + 25mg); Créme,5% (25mg + 25mg),Lidocaina+PrilocaÕna
ESS_MEDS,VIA ESSENTIAL,10A06,Hidroclortiazida; 50mg; Comprimidos,50mg,Hidroclortiazida
ESS_MEDS,VIA ESSENTIAL,22B0YZ,"Propiliodona; 0,2%; Suspensão","0,2%",Propiliodona
ESS_MEDS,VIA ESSENTIAL,08L10X,Acido Aminosalicilico (PASER); 4g; Saquetas,4g,Acido Aminosalicilico (PASER)
ESS_MEDS,VIA ESSENTIAL,23D02,Ligadura De Cambraia ; 10cm X 5m; Rolo,10cm X 5m,Ligadura De Cambraia
ESS_MEDS,VIA ESSENTIAL,15C06Z,Neomicina + Bacitracina; 3300UI+250UI; Créme,3300UI+250UI,Neomicina + Bacitracina
ESS_MEDS,VIA ESSENTIAL,12A01,"Caseinato de calcio; 0,2%; Pó","0,2%",Caseinato de calcio
ESS_MEDS,VIA ESSENTIAL,05A07Z,Ketotifeno; 1mg/5mL; Xarope,1mg/5mL,Ketotifeno
ESS_MEDS,VIA ESSENTIAL,08J02,Vancomicina hidrocloreto; 500mg; Injectável,500mg,Vancomicina hidrocloreto
ESS_MEDS,VIA ESSENTIAL,08K01Z,Cloranfenicol; 500mg; Cápsulas,500mg,Cloranfenicol
ESS_MEDS,VIA ESSENTIAL,12B10Y,Albumina; 20% 50ml 10g; Injectável,20% 50ml 10g,Albumina
ESS_MEDS,VIA ESSENTIAL,15B01,"Betametasona dipropionato; 0,1%; Créme","0,1%",Betametasona dipropionato
ESS_MEDS,VIA ESSENTIAL,15C26,Violeta de genciana; 1%; Solução alcoólica,1%,Violeta de genciana
ESS_MEDS,VIA ESSENTIAL,12B03Y,Dextrose; 25% 250ml; Injectável,25% 250ml,Dextrose
ESS_MEDS,VIA ESSENTIAL,08L04Z,Isoniazida+Tiacetazona; 300mg+150mg; Comprimidos,300mg+150mg,Isoniazida+Tiacetazona
ESS_MEDS,VIA ESSENTIAL,19B09,"Vacina pentavalente; 0,2%; Injectável","0,2%",Vacina pentavalente
ESS_MEDS,VIA ESSENTIAL,17D0ZZ,"Dexametasona+Cloranfenicol; 1% + 0,5%; Colírio","1% + 0,5%",Dexametasona+Cloranfenicol
ESS_MEDS,VIA ESSENTIAL,15B14,"Hidrocortisona butirato; 0,1%; Créme","0,1%",Hidrocortisona butirato
ESS_MEDS,VIA ESSENTIAL,08K09,Nitrofurantoína; 25mg/5mL; Suspensão,25mg/5mL,NitrofurantoÕna
ESS_MEDS,VIA ESSENTIAL,03B09,Insulina accao intermedia (Pro; 100UI/mL; Injectável,100UI/mL,Insulina accao intermedia (Protaphane)
ESS_MEDS,VIA ESSENTIAL,18B04,Propofol; (10mg/ml) 50ml; Injectável,(10mg/ml) 50ml,Propofol
ESS_MEDS,VIA ESSENTIAL,04F04,Etinilest+Levonorgestrel; 50mcg + 250mcg; Comprimidos,50mcg + 250mcg,Etinilest+Levonorgestrel
ESS_MEDS,VIA ESSENTIAL,20A08Z,Cetrimida+Clorexidina; 15%+7.5% 500mL; Solução,15%+7.5% 500mL,Cetrimida+Clorexidina
ESS_MEDS,VIA ESSENTIAL,24C02,Sistemas paraTransfusao de san; SEM DOSAGEM; Embalagem,Sem Dosagem,Sistemas paraTransfusao de sangue
ESS_MEDS,VIA ESSENTIAL,02A02Z,Hidroxido de  Magnesio; 311mg; Comprimidos,311mg,Hidroxido de  Magnesio
ESS_MEDS,VIA ESSENTIAL,08O18,Sulfadiazina Sodica; 250mg/mL; Injectável,250mg/mL,Sulfadiazina Sodica
ESS_MEDS,VIA ESSENTIAL,15D03,Alcatrão de Hulha (Coaltar); 5% + 0.2%; Champo,5% + 0.2%,AlcatrÜo de Hulha (Coaltar)
ESS_MEDS,VIA ESSENTIAL,04E0YZ,Progesterona; 25mg/mL; Injectável,25mg/mL,Progesterona
ESS_MEDS,VIA ESSENTIAL,08O16,Pirimetamina; 25mg; Comprimidos,25mg,Pirimetamina
ESS_MEDS,VIA ESSENTIAL,15C04,"Amorolfine; 5%Frasco 2,5mL; Frasco","5%Frasco 2,5mL",Amorolfine
ESS_MEDS,VIA ESSENTIAL,17A03,Adrenalina pediatrica; 2%; Solução,2%,Adrenalina pediatrica
ESS_MEDS,VIA ESSENTIAL,02H01Z,Dimetilpolissiloxano; 10mg/25mL; Gotas Orais,10mg/25mL,Dimetilpolissiloxano
ESS_MEDS,VIA ESSENTIAL,10A04Z,Furosemida; 10mg/2mL; Injectável,10mg/2mL,Furosemida
ESS_MEDS,VIA ESSENTIAL,07J02,Clorpromazina; 100mg; Comprimidos,100mg,Clorpromazina
ESS_MEDS,VIA ESSENTIAL,18C02Y,Bupivacaina HCL+Adrenalina; 100mg+5mg; Injectável,100mg+5mg,Bupivacaina HCL+Adrenalina
ESS_MEDS,VIA ESSENTIAL,02B02,Butilescopolamina; 20mg/mL; Injectável,20mg/mL,Butilescopolamina
ESS_MEDS,VIA ESSENTIAL,08O04,Artemeter; 50mg; Supositório,50mg,Artemeter
ESS_MEDS,VIA ESSENTIAL,08O05X,Artemeter+Lumefantrina; 120mg+20mg 4x6; Comprimidos,120mg+20mg 4x6,Artemeter+Lumefantrina
ESS_MEDS,VIA ESSENTIAL,11A03Z,Cloreto de potassio; 15%; Injectável,15%,Cloreto de potassio
ESS_MEDS,VIA ESSENTIAL,23A01,Adesivo Esparadrapo(Transpore); 18cm X5m; Rolo,18cm X5m,Adesivo Esparadrapo(Transpore)
ESS_MEDS,VIA ESSENTIAL,08B07,Ceftadizima; 1g-ampola; Injectável,1g-ampola,Ceftadizima
ESS_MEDS,VIA ESSENTIAL,26B07,Rede Mosquiteiras unidade,unidade,Rede Mosquiteiras
ESS_MEDS,VIA ESSENTIAL,07C02,Sumatriptano; 50mg; Comprimidos,50mg,Sumatriptano
MMIA,MMIA,08S18Y,Tenofovir/Lamivudina/Efavirenz; 300mg + 300mg + 600mg 30Comp; Embalagem,300mg + 300mg + 600mg Comp,Tenofovir/Lamivudina/Efavirenz
ESS_MEDS,VIA ESSENTIAL,080ZY,Cefalexina; 250mg; Cápsulas,250mg,Cefalexina
ESS_MEDS,VIA ESSENTIAL,04A09,Nistatina; 100 000UI/4g; Créme vaginal,100 000UI/4g,Nistatina
ESS_MEDS,VIA ESSENTIAL,07B07,Morfina sulfato; 5mg/5mL; Xarope,5mg/5mL,Morfina sulfato
ESS_MEDS,VIA ESSENTIAL,23B01,Algodao Hidrofilo ; 500g; Rolo,500g,Algodao Hidrofilo
ESS_MEDS,VIA ESSENTIAL,07J04,"Flufenazina; 2,5mg; Comprimidos","2,5mg",Flufenazina
ESS_MEDS,VIA ESSENTIAL,15E02,Peroxido de benzoilo; 5%; Créme,5%,Peroxido de benzoilo
ESS_MEDS,VIA ESSENTIAL,08O15,Artesunato+Amodiaquina; 100mg+270mg; Comprimidos,100mg+270mg,Artesunato+Amodiaquina
ESS_MEDS,VIA ESSENTIAL,18B05Z,Tiopental; 500mg/20mL; Injectável,500mg/20mL,Tiopental
ESS_MEDS,VIA ESSENTIAL,17F01,Acetilcolina; 1%; Solução Oftálmica,1%,Acetilcolina
ESS_MEDS,VIA ESSENTIAL,08S25,Amprenavir (APV); 15mg/mL; Solução,15mg/mL,Amprenavir (APV)
ESS_MEDS,VIA ESSENTIAL,18C07Z,Lidocaina; 2%-2g/100ml; Gel,2%-2g/100ml,Lidocaina
ESS_MEDS,VIA ESSENTIAL,12D08,"Complexo B; 0,2%; Comprimidos","0,2%",Complexo B
ESS_MEDS,VIA ESSENTIAL,15D05,"Calcipotriol; 0,005%; Créme","0,005%",Calcipotriol
ESS_MEDS,VIA ESSENTIAL,15C03Z,"Acido Benzoico; 0,2%; Pomada","0,2%",Acido Benzoico
ESS_MEDS,VIA ESSENTIAL,15C16,Iodo+Acido salicilico; 1g + 3g; Solução alcoólica,1g + 3g,Iodo+Acido salicilico
ESS_MEDS,VIA ESSENTIAL,09C08,Metotrexato; 5mg/2mL; Injectável,5mg/2mL,Metotrexato
ESS_MEDS,VIA ESSENTIAL,02D06,Lactulose; 100g/200mL; Xarope,100g/200mL,Lactulose
ESS_MEDS,VIA ESSENTIAL,17D0YZ,"Prednisolona; 0,02%; Colírio","0,02%",Prednisolona
ESS_MEDS,VIA ESSENTIAL,08O11,Quinina sulfato; 300mg; Comprimidos,300mg,Quinina sulfato
ESS_MEDS,VIA ESSENTIAL,18C02,"Bupivacaina HCL+Adrenalina; 10mg+0,01mg; Injectável","10mg+0,01mg",Bupivacaina HCL+Adrenalina
ESS_MEDS,VIA ESSENTIAL,04H03,Oxibutinina; 20mg; Comprimidos,20mg,Oxibutinina
ESS_MEDS,VIA ESSENTIAL,23D07,"Ligadura Gessada  ; 7,5cmx3m; Rolo","7,5cmx3m",Ligadura Gessada
ESS_MEDS,VIA ESSENTIAL,01C03,Labetalol; 5mg/mL; Injectável,5mg/mL,Labetalol
ESS_MEDS,VIA ESSENTIAL,25A03,Ficha de  Stock ; SEM DOSAGEM; Papel,Sem Dosagem,Ficha de  Stock
ESS_MEDS,VIA ESSENTIAL,03B13,Diazoxido; 50mg; Comprimidos,50mg,Diazoxido
ESS_MEDS,VIA ESSENTIAL,18B03,"Propofol; 10mg/mL, 20 ml; Injectável","10mg/mL, 20 ml",Propofol
ESS_MEDS,VIA ESSENTIAL,24B01,Seringa para insulina 1 ml com; 100 UI; Embalagem,100 UI,Seringa para insulina 1 ml com agulha
ESS_MEDS,VIA ESSENTIAL,09C01,Citarabina (citosina arabinosi; 100mg/5mL; Injectável,100mg/5mL,Citarabina (citosina arabinosido)
ESS_MEDS,VIA ESSENTIAL,03B12,Insulina accao prolongada (gla; 100UI/mL; Injectável,100UI/mL,Insulina accao prolongada (glargina)
ESS_MEDS,VIA ESSENTIAL,12D02Z,Acido Ascorbico (VIT C); 100mg/5mL; Injectável,100mg/5mL,Acido Ascorbico (VIT C)
ESS_MEDS,VIA ESSENTIAL,08F08Z,Eritromicina; 200mg/5mL; Suspensão,200mg/5mL,Eritromicina
ESS_MEDS,VIA ESSENTIAL,09B03,Daunorubicina; 20mg; Injectável,20mg,Daunorubicina
ESS_MEDS,VIA ESSENTIAL,01J02,Sinvastatina; 20mg; Comprimidos,20mg,Sinvastatina
ESS_MEDS,VIA ESSENTIAL,09D04,"Vincristina,sulfato; 2mg/2mL; Injectável",2mg/2mL,"Vincristina,sulfato"
ESS_MEDS,VIA ESSENTIAL,07J11,Trifluorperazina; 5mg; Comprimidos,5mg,Trifluorperazina
ESS_MEDS,VIA ESSENTIAL,14A05,Indometacina; 25mg; Comprimidos,25mg,Indometacina
ESS_MEDS,VIA ESSENTIAL,07D07,Fenobarbital; 100mg; Comprimidos,100mg,Fenobarbital
ESS_MEDS,VIA ESSENTIAL,24B04,"Seringa Hipodermica 2,5 ml com; 0,60x25mm; Embalagem","0,60x25mm","Seringa Hipodermica 2,5 ml com agulha"
ESS_MEDS,VIA ESSENTIAL,01E03,Propranolol; 40mg; Comprimidos,40mg,Propranolol
ESS_MEDS,VIA ESSENTIAL,20A14,Permanganato de potassio 500mg Comp,500mg,Permanganato de potassio
ESS_MEDS,VIA ESSENTIAL,16C06,"Tint atrop beladon+Tint eucali; 0,2%; Soluto","0,2%",Tint atrop beladon+Tint eucalip+Ess de Timos
ESS_MEDS,VIA ESSENTIAL,26A06Z,Blocos de Receitas Sem Dosagem Papel,Sem Dosagem,Blocos de Receitas
ESS_MEDS,VIA ESSENTIAL,23A07,Adesivo Transparente; 72mmx5m; Rolo,72mmX5m,Adesivo Transparente
ESS_MEDS,VIA ESSENTIAL,07G04,Imipramina; 25mg; Comprimidos,25mg,Imipramina
ESS_MEDS,VIA ESSENTIAL,02H0YY,Dimetilpolissiloxano; 10mg/25mL; Gotas Orais,10mg/25mL,Dimetilpolissiloxano
ESS_MEDS,VIA ESSENTIAL,06F05,Fibrinogenio; 100mg/250mL; Injectável,100mg/250mL,Fibrinogenio
ESS_MEDS,VIA ESSENTIAL,08S23Z,Nevirapina (NVP); 50mg 60Comp Disp; Embalagem,50mg 60Comp Disp,Nevirapina (NVP)
ESS_MEDS,VIA ESSENTIAL,08Q03,Fluconazol 200mg Caps,200mg,Fluconazol
ESS_MEDS,VIA ESSENTIAL,12C03,Gluconato de cálcio; 10%-ampola; Injectável,10%-ampola,Gluconato de càlcio
ESS_MEDS,VIA ESSENTIAL,07I06,Diazepam; 10mg; Comprimidos,10mg,Diazepam
ESS_MEDS,VIA ESSENTIAL,08M0XX,Dapsona+Rifampicina; 100mg+300mg; Comprimidos,100mg+300mg,Dapsona+Rifampicina
ESS_MEDS,VIA ESSENTIAL,17D01,"Dexametasona; 0,5%; Colírio","0,5%",Dexametasona
ESS_MEDS,VIA ESSENTIAL,04D05,Estradiol+Noretisterona; 2mg+2mg+1mg+1mg; Ciclo,2mg+2mg+1mg+1mg,Estradiol+Noretisterona
ESS_MEDS,VIA ESSENTIAL,07E01,Cinarizina; 25mg; Comprimidos,25mg,Cinarizina
ESS_MEDS,VIA ESSENTIAL,08R0YZ,Tamiflu; 75mg; Cápsulas,75mg,Tamiflu
ESS_MEDS,VIA ESSENTIAL,07D12,Topiramato; 50mg; Comprimidos,50mg,Topiramato
ESS_MEDS,VIA ESSENTIAL,09F04,Rituximab; 100mg/10mL; Injectável,100mg/10mL,Rituximab
ESS_MEDS,VIA ESSENTIAL,08D0ZZ,Gentamicina; 40mg/2mL-ampola; Injectável,40mg/2mL-ampola,Gentamicina
ESS_MEDS,VIA ESSENTIAL,18F04,Midazolam; 15mg/3mL; Injectável,15mg/3mL,Midazolam
ESS_MEDS,VIA ESSENTIAL,08S10,Estavudina(D4T); 30mg 60Caps; Embalagem,30mg 60Caps,Estavudina(D4T)
ESS_MEDS,VIA ESSENTIAL,04K08,Stilbestrol (Dietilstilbestrol; 3mg; Comprimidos,3mg,Stilbestrol (Dietilstilbestrol)
ESS_MEDS,VIA ESSENTIAL,01A03,"Digoxina; 0,5mg/2mL; Injectável","0,5mg/2mL",Digoxina
ESS_MEDS,VIA ESSENTIAL,24A05Z,"Agulha Hipodermica 16G; 1,60x38mm; Embalagem","1,60x38mm",Agulha Hipodermica 16G
ESS_MEDS,VIA ESSENTIAL,23D01,Ligadura De Cambraia ; 5cm X 5m; Rolo,5cm X 5m,Ligadura De Cambraia
ESS_MEDS,VIA ESSENTIAL,01C01,Hidralazina; 25mg/5mL; Injectável,25mg/5mL,Hidralazina
ESS_MEDS,VIA ESSENTIAL,09A05,Clormetina ; 10mg; Injectável,10mg,Clormetina
ESS_MEDS,VIA ESSENTIAL,03B10,Insulina accao interm Bifasica; 100UI/mL; Injectável,100UI/mL,Insulina accao interm Bifasica(Actraphane70/30)
ESS_MEDS,VIA ESSENTIAL,01H02,Enalapril; 20mg; Comprimidos,20mg,Enalapril
ESS_MEDS,VIA ESSENTIAL,13A05,Hidroxizina HCl; 25mg; Comprimidos,25mg,Hidroxizina HCl
ESS_MEDS,VIA ESSENTIAL,08O0ZY,Trimetoprim; 20mg; Comprimidos,20mg,Trimetoprim
ESS_MEDS,VIA ESSENTIAL,08O02,Artemeter; 20mg/mL; Injectável,20mg/mL,Artemeter
ESS_MEDS,VIA ESSENTIAL,09F03,"Interferon alfa-2a recombinado; 3000000 IU/0,5mL; Injectável","3000000 IU/0,5mL",Interferon alfa-2a recombinado
ESS_MEDS,VIA ESSENTIAL,26A01,KIT PME US; SEM DOSAGEM; KIT,Sem Dosagem,KIT PME US
ESS_MEDS,VIA ESSENTIAL,14B01,Alopurinol; 100mg; Comprimidos,100mg,Alopurinol
ESS_MEDS,VIA ESSENTIAL,10A03,Furosemida; 40mg; Comprimidos,40mg,Furosemida
ESS_MEDS,VIA ESSENTIAL,07J09,Tioridazina; 10mg; Comprimidos,10mg,Tioridazina
ESS_MEDS,VIA ESSENTIAL,08M6ZZ,Prednisolona; 2X14Comprimidos40+30+20+15+10+; Comprimidos,2X14Comprimidos40+30+20+15+10+5mg,Prednisolona
ESS_MEDS,VIA ESSENTIAL,08S33,Estavudina/Lamivudina; 40mg+150mg 60Comp; Embalagem,40mg+150mg 60Comp,Estavudina/Lamivudina
ESS_MEDS,VIA ESSENTIAL,08G01Z,Doxicilina; 50mg; Cápsulas,50mg,Doxicilina
ESS_MEDS,VIA ESSENTIAL,02E02,Loperamida; 2mg; Comprimidos,2mg,Loperamida
ESS_MEDS,VIA ESSENTIAL,04K07,Stilbestrol (Dietilstilbestrol; 1mg; Comprimidos,1mg,Stilbestrol (Dietilstilbestrol)
ESS_MEDS,VIA ESSENTIAL,08K05,Metronidazol; 500mg/100mL; Injectável,500mg/100mL,Metronidazol
ESS_MEDS,VIA ESSENTIAL,11A18,Hidroxietilamido; 6%; Injectável,6%,Hidroxietilamido
ESS_MEDS,VIA ESSENTIAL,12D04,Axeroftol (Vitamina A); 200 000 UI; Cápsulas,200 000 UI,Axeroftol (Vitamina A)
ESS_MEDS,VIA ESSENTIAL,14A03Z,Ibuprofeno; 400mg; Comprimidos,400mg,Ibuprofeno
ESS_MEDS,VIA ESSENTIAL,24B03,Seringa para Medroxiprogestero; SEM DOSAGEM; Embalagem,Sem Dosagem,Seringa para Medroxiprogesterona injectavel 1 ml com agulha
ESS_MEDS,VIA ESSENTIAL,07I08,Flunitrazepam; 2mg; Comprimidos,2mg,Flunitrazepam
ESS_MEDS,VIA ESSENTIAL,08L02X,Etambutol+Isoniazida; 400mg+150mg; Comprimidos,400mg+150mg,Etambutol+Isoniazida
ESS_MEDS,VIA ESSENTIAL,07A04,Paracetamol; 1g/100mL; Injectável,1g/100mL,Paracetamol
ESS_MEDS,VIA ESSENTIAL,09G03,"Goserelina, acetato; 10,8mg; Implante","10,8mg","Goserelina, acetato"
ESS_MEDS,VIA ESSENTIAL,11A19,Lactato de Ringer+AD set; 1000ml; Injectável,1000ml,Lactato de Ringer+AD set
ESS_MEDS,VIA ESSENTIAL,18C10X,Lidocaina com Adernalina; 1:200 000 30 ML; Injectável,1:200 000 30 ML,Lidocaina+Adrenalina
ESS_MEDS,VIA ESSENTIAL,12A14,"Dietapolimerica  para insufici; 0,2%; Solução","0,2%",Dietapolimerica  para insuficientes renais
ESS_MEDS,VIA ESSENTIAL,15C19,Metronidazol; 1%; Créme,1%,Metronidazol
ESS_MEDS,VIA ESSENTIAL,01G03,Nitroglicerina; 5mg/mL; Injectável,5mg/mL,Nitroglicerina
ESS_MEDS,VIA ESSENTIAL,07L01,Baclofeno; 10mg; Comprimidos,10mg,Baclofeno
ESS_MEDS,VIA ESSENTIAL,04F01,Ciproterona+Etinilestradiol; 2mg + 35mcg; Comprimidos,2mg + 35mcg,Ciproterona+Etinilestradiol
ESS_MEDS,VIA ESSENTIAL,15C0ZX,Benzoato de benzilo; 25% 250mg/mL; Emulsão,25% 250mg/mL,Benzoato de benzilo
ESS_MEDS,VIA ESSENTIAL,25A08,Mapa Finaceiro; SEM DOSAGEM; Papel,Sem Dosagem,Mapa Finaceiro
ESS_MEDS,VIA ESSENTIAL,09H04,Ondansetron; 8mg/4mL; Injectável,8mg/4mL,Ondansetron
ESS_MEDS,VIA ESSENTIAL,02A06,Ranitidina; 150mg; Comprimidos,150mg,Ranitidina
ESS_MEDS,VIA ESSENTIAL,01A02,"Digoxina; 2,5mg/50mL; Gotas Orais","2,5mg/50mL",Digoxina
ESS_MEDS,VIA ESSENTIAL,20A01,Agua oxigenada; 20 volumes 6% 100ml; Solução,20 volumes 6% 100ml,Agua oxigenada
ESS_MEDS,VIA ESSENTIAL,04D02,"Estrogenios conjugados; 0,625mg; Comprimidos","0,625mg",Estrogenios conjugados
ESS_MEDS,VIA ESSENTIAL,04E12,Danazol; 200mg; Comprimidos,200mg,Danazol
ESS_MEDS,VIA ESSENTIAL,08A11Z,Amoxicilina +Ac clavulanico; 875mg+125mg; Comprimidos,875mg+125mg,Amoxicilina +Ac clavulanico
ESS_MEDS,VIA ESSENTIAL,07B02,Codeina fosfato; 25mg/5mL; Xarope,25mg/5mL,Codeina fosfato
ESS_MEDS,VIA ESSENTIAL,07I11,Zolpidem; 10mg; Comprimidos,10mg,Zolpidem
ESS_MEDS,VIA ESSENTIAL,06A0ZY,Acido Folico+Vit B12; 1mg+25mcg; Cápsulas,1mg+25mcg,Acido Folico+Vit B12
ESS_MEDS,VIA ESSENTIAL,15B22Z,Triamcinolona Hexacetonido; 40mg/mL; Injectável,40mg/mL,Triamcinolona Hexacetonido
ESS_MEDS,VIA ESSENTIAL,08M04,Dapsona; 100mg; Comprimidos,100mg,Dapsona
ESS_MEDS,VIA ESSENTIAL,08R0X,Tamiflu; 30mg; Comprimidos,30mg,Tamiflu
ESS_MEDS,VIA ESSENTIAL,08S26,"Indinavir (IDV) ; 400mg, 180 Caps; Embalagem","400mg, 180 Caps",Indinavir (IDV)
ESS_MEDS,VIA ESSENTIAL,17E01,Proparacaina (Proxymetacaine); Proxymetacaine;gotas oftalmica; Frasco,"Proxymetacaine;gotas oftalmicas 0,5%Frasco 5mL",Proparacaina (Proxymetacaine)
ESS_MEDS,VIA ESSENTIAL,07B03,Dextropopoxifeno; 65mg; Cápsulas,65mg,Dextropopoxifeno
ESS_MEDS,VIA ESSENTIAL,15B04,"Betametasona+Acido salicilico; 0,05%+3%; Loção","0,05%+3%",Betametasona+Acido salicilico
ESS_MEDS,VIA ESSENTIAL,08S18,Tenofovir (TDF); 300mg 30Comp; Embalagem,300mg 30Comp,Tenofovir (TDF)
ESS_MEDS,VIA ESSENTIAL,04E05,Ciproterona; 300 mg/3mL; Injectável,300 mg/3mL,Ciproterona
ESS_MEDS,VIA ESSENTIAL,18C07B,Lidocaina Hidrocloride Carpule; 2%; Injectável,2%,Lidocaina Hidrocloride Carpule
ESS_MEDS,VIA ESSENTIAL,07I06Z,Diazepam; 10mg; Cápsulas de Libertação Prolong,10mg,Diazepam
ESS_MEDS,VIA ESSENTIAL,18F0ZZ,"Droperidol (sol Aquosa); 0,2%; Injectável","0,2%",Droperidol (sol Aquosa)
ESS_MEDS,VIA ESSENTIAL,23D09,Ligadura Gessada  ; 15cm X 3m; Rolo,15cm X 3m,Ligadura Gessada
ESS_MEDS,VIA ESSENTIAL,08E02,Clindamicina; 150mg/mL-ampola; Injectável,150mg/mL-ampola,Clindamicina
ESS_MEDS,VIA ESSENTIAL,06A06,Sal ferroso; 200mg (65 mg de ferro elementa; Comprimidos,200mg (65 mg de ferro elementar,Sal ferroso
ESS_MEDS,VIA ESSENTIAL,18C02Z,Bupivacaina+ Dextrose (Hiperba; 20mg/4ml; Injectável,20mg/4ml,Bupivacaina+ Dextrose (Hiperbarica)
ESS_MEDS,VIA ESSENTIAL,08Q0ZZ,Fluconazol; 10mg/mL; Xarope,10mg/mL,Fluconazol
ESS_MEDS,VIA ESSENTIAL,12A0XX,Sacarina; 20mg; Comprimidos,20mg,Sacarina
ESS_MEDS,VIA ESSENTIAL,07B01,Codeina fosfato; 30mg; Comprimidos,30mg,Codeina fosfato
ESS_MEDS,VIA ESSENTIAL,18C01Z,Bupivacaina HCL+Adrenalina; 100mg + 1:200.000/20mL; Injectável,100mg + 1:200.000/20mL,Bupivacaina HCL+Adrenalina
ESS_MEDS,VIA ESSENTIAL,09C09,Metotrexato; 50mg/2mL; Injectável,50mg/2mL,Metotrexato
ESS_MEDS,VIA ESSENTIAL,15C17,"Iodopovidona; 0,2%; Solução","0,2%",Iodopovidona
ESS_MEDS,VIA ESSENTIAL,04A03,Clotrimazol; 100mg; Óvulo vaginal,100mg,Clotrimazol
ESS_MEDS,VIA ESSENTIAL,09E07,Dacarbazina; 200mg; Injectável,200mg,Dacarbazina
ESS_MEDS,VIA ESSENTIAL,12D05,Axeroftol (Vitamina A); 100 000UI/ml; Solução,100 000UI/ml,Axeroftol (Vitamina A)
ESS_MEDS,VIA ESSENTIAL,08K03,Cloranfenicol; 250mg/5mL; Suspensão,250mg/5mL,Cloranfenicol
ESS_MEDS,VIA ESSENTIAL,12A13,Dietapolimérica  para doentes ; SEM DOSAGEM; Solução,Sem Dosagem,Dietapolim_rica  para doentes Diabeticos
ESS_MEDS,VIA ESSENTIAL,25A07,Mapa Resumo Mensal Caixa; SEM DOSAGEM; Papel,Sem Dosagem,Mapa Resumo Mensal Caixa
ESS_MEDS,VIA ESSENTIAL,07A0ZZ,Paracetamol+Cafeina+Ergotamina; 250+100+1mg; Comprimidos,250+100+1mg,Paracetamol+Cafeina+Ergotamina
ESS_MEDS,VIA ESSENTIAL,15C23,Piritionato de zinco; 2%; Champo,2%,Piritionato de zinco
ESS_MEDS,VIA ESSENTIAL,06F03,"Esponja de Gelatina; 0,2%; Cubos","0,2%",Esponja de Gelatina
ESS_MEDS,VIA ESSENTIAL,04B07Z,Sulfato de magnesio; 500mg/mL 50%; Injectável,500mg/mL 50%,Sulfato de magnesio
ESS_MEDS,VIA ESSENTIAL,07F03,"Levodopa+Benzerazida; 50mg + 12,5mg; Comprimidos","50mg + 12,5mg",Levodopa+Benzerazida
ESS_MEDS,VIA ESSENTIAL,24D03,"Cateter periferico c/ agulha, valvula de injeccao e abas 18G, Radiopaco unidade Embalagem",unidade,"Cateter periferico c/ agulha, valvula de injeccao e abas 18G, Radiopaco"
ESS_MEDS,VIA ESSENTIAL,07D06,Fenobarbital; 15mg; Comprimidos,15mg,Fenobarbital
ESS_MEDS,VIA ESSENTIAL,09C05,Fluorouracilo; 500mg/10mL; Injectável,500mg/10mL,Fluorouracilo
ESS_MEDS,VIA ESSENTIAL,12D12,Nicotinamida (Vitamina PP); 100mg; Comprimidos,100mg,Nicotinamida (Vitamina PP)
ESS_MEDS,VIA ESSENTIAL,08H01Z,Acido Nalidíxico; 125mg; Comprimidos,125mg,Acido NalidÕxico
ESS_MEDS,VIA ESSENTIAL,08H07Z,Levofloxacina 500mg Comp,500mg,Levofloxacina
ESS_MEDS,VIA ESSENTIAL,15D08,"Ditranol; 0,1%; Créme","0,1%",Ditranol
ESS_MEDS,VIA ESSENTIAL,07L03,Dissulfiram; 200mg; Comprimidos,200mg,Dissulfiram
ESS_MEDS,VIA ESSENTIAL,17E0ZZ,"Oxibuprocaina; 0,4%; Colírio","0,4%",Oxibuprocaina
ESS_MEDS,VIA ESSENTIAL,04E06,Testosterona; 50mg/5g; Gel,50mg/5g,Testosterona
ESS_MEDS,VIA ESSENTIAL,15C21,Miconazol muco-adesivo bucal; 10mg; Comprimidos,10mg,Miconazol muco-adesivo bucal
ESS_MEDS,VIA ESSENTIAL,02C03,Metoclopramida; 5mg/5mL; Xarope,5mg/5mL,Metoclopramida
ESS_MEDS,VIA ESSENTIAL,16C08,"Triprolina+Pseudoefedrina; 1,25mg+30mg/5mL; Xarope","1,25mg+30mg/5mL",Triprolina+Pseudoefedrina
ESS_MEDS,VIA ESSENTIAL,12D03Z,Alfa tocoferol (Vitamina E); 50mg; Cápsulas,50mg,Alfa tocoferol (Vitamina E)
ESS_MEDS,VIA ESSENTIAL,17C02,"Ciprofloxacina; 0,3%; Colírio","0,3%",Ciprofloxacina
